student_code,full_name,email,program,cohort,attendance_rate,lms_activity_score,password
24010001,Nguyễn Minh Anh,sv24010001@gmail.com,Hệ thống thông tin quản lý,K68,98,92,Sv@123456
24010002,Trần Thùy Linh,sv24010002@gmail.com,Hệ thống thông tin quản lý,K68,95,88,Sv@123456
24010003,Lê Quang Huy,sv24010003@gmail.com,Hệ thống thông tin quản lý,K69,86,66,Sv@123456
24010004,Phạm Thu Hà,sv24010004@gmail.com,Hệ thống thông tin quản lý,K69,82,58,Sv@123456
24010005,Đỗ Văn Khoa,sv24010005@gmail.com,Hệ thống thông tin quản lý,K68,74,44,Sv@123456
24010006,Vũ Hoàng Nam,sv24010006@gmail.com,Tự động hóa và Tin học,K68,90,80,Sv@123456
24010007,Bùi Khánh Chi,sv24010007@gmail.com,Tự động hóa và Tin học,K69,84,62,Sv@123456
24010008,Hoàng Anh Tuấn,sv24010008@gmail.com,Tự động hóa và Tin học,K69,70,40,Sv@123456
24010009,Đặng Thị Mai,sv24010009@gmail.com,Tự động hóa và Tin học,K68,58,28,Sv@123456
24010010,Ngô Gia Bảo,sv24010010@gmail.com,Tự động hóa và Tin học,K69,54,24,Sv@123456
